omega_1	Veff(v,T)	T
101.525	1.388573484798751e+18	165.989
101.55	1.388573484798751e+18	165.989
101.575	1.388573484798751e+18	165.989
101.6	1.388573484798752e+18	165.989
101.625	1.388573484798752e+18	165.989
101.65	1.388573484798752e+18	165.989
101.675	1.388573484798752e+18	165.989
101.7	1.388573484798752e+18	165.989
101.725	1.388573484798753e+18	165.989
101.75	1.388573484798752e+18	165.989
101.775	1.388573484798752e+18	165.989
101.8	1.388573484798753e+18	165.989
101.825	1.388573484798753e+18	165.989
101.85	1.388573484798753e+18	165.989
101.875	1.388573484798753e+18	165.989
101.9	1.388573484798753e+18	165.989
101.925	1.388573484798753e+18	165.989
101.95	1.388573484798753e+18	165.989
101.975	1.388573484798753e+18	165.989
102	1.388573484798754e+18	165.989
