omega_{CB}	omega_1	omega_2	omega_{CP}	omega_S	Veff(v,T)	dVeff(v,T)_w0	dVeff(v,T)_w1	dVeff(v,T)_w2	dVeff(v,T)_w3	dVeff(v,T)_w4	dVeff(v,T)o6_w0	dVeff(v,T)o6_w1	dVeff(v,T)o6_w2	dVeff(v,T)o6_w3	dVeff(v,T)o6_w4	dVeff(v,T)o8_w0	dVeff(v,T)o8_w1	dVeff(v,T)o8_w2	dVeff(v,T)o8_w3	dVeff(v,T)o8_w4	d2Veff(v,T)_w0_w0	d2Veff(v,T)_w0_w1	d2Veff(v,T)_w0_w2	d2Veff(v,T)_w0_w3	d2Veff(v,T)_w0_w4	d2Veff(v,T)_w1_w0	d2Veff(v,T)_w1_w1	d2Veff(v,T)_w1_w2	d2Veff(v,T)_w1_w3	d2Veff(v,T)_w1_w4	d2Veff(v,T)_w2_w0	d2Veff(v,T)_w2_w1	d2Veff(v,T)_w2_w2	d2Veff(v,T)_w2_w3	d2Veff(v,T)_w2_w4	d2Veff(v,T)_w3_w0	d2Veff(v,T)_w3_w1	d2Veff(v,T)_w3_w2	d2Veff(v,T)_w3_w3	d2Veff(v,T)_w3_w4	d2Veff(v,T)_w4_w0	d2Veff(v,T)_w4_w1	d2Veff(v,T)_w4_w2	d2Veff(v,T)_w4_w3	d2Veff(v,T)_w4_w4	T
0	292.5	0	0	0	189014160437747.1	0	2988120.625	0.07812499999999999	0.07812499999999999	-0.05208333333333333	0	2689309.010416667	-0.2083333333333333	-0.8854166666666667	0.46875	-0.3571428571428572	2390497.068452381	-0.08928571428571429	-0.4166666666666666	0.0744047619047619	70198482.81249999	0	0	0	0	0	26568.75	0	0.7812499999999999	0	0	0	70425562.49999999	9.374999999999998	-192.1875	0	0.7812499999999999	9.374999999999998	70134849.99999999	-29.68749999999999	0	0	-192.1875	-29.68749999999999	45941917.18749999	200
0	295	0	0	0	189014167991529.4	-0.05208333333333333	3055083.463541666	-0.1041666666666667	-0.1041666666666667	-0.02604166666666666	-0.8333333333333334	2749580.625	-0.2604166666666667	-0.9375	0.4166666666666667	-0.4166666666666666	2444073.005952381	0.3869047619047619	0.1934523809523809	-0.1488095238095238	70206037.49999999	0	0	0	0	0	27003.125	0	0.7812499999999999	0	0	0	70437034.37499999	-3.125	-196.875	0	0.7812499999999999	-3.125	70141321.87499999	-18.75	0	0	-196.875	-18.75	45937414.06249999	200
0	297.5	0	0	0	189014175714059.5	-0.02604166666666666	3123121.09375	-0.05208333333333333	0.07812499999999999	0.1041666666666667	-0.15625	2810806.197916667	0.3125	0.15625	-1.041666666666667	0.1934523809523809	2498495.178571429	0.4166666666666666	0.0744047619047619	0.01488095238095238	70213673.43749999	0	0	0	0	0	27433.59375	0	0	0	0	0	70448609.37499999	-7.812499999999998	-195.3125	0	0	-7.812499999999998	70147842.18749999	-17.1875	0	0	-195.3125	-17.1875	45932881.24999999	200
0	300	0	0	0	189014183608037.2	0.05208333333333333	3192242.942708333	0.07812499999999999	-0.1041666666666667	0.05208333333333333	-0.625	2873013.020833333	0.2083333333333333	-4.739583333333334	0.7291666666666667	0.8333333333333333	2553787.633928571	0.1488095238095238	-6.339285714285714	-0.6547619047619048	70221367.18749999	0	0	0	0	0	27867.1875	0	-0.7812499999999999	0	0	0	70460281.24999999	-14.0625	-196.875	0	-0.7812499999999999	-14.0625	70154433.59374999	-18.75	0	0	-196.875	-18.75	45928304.68749999	200
0	302.5	0	0	0	189014191676185.1	-0.02604166666666666	3262458.151041666	0.05208333333333333	0	0	-0.8854166666666667	2936210.729166667	0.3645833333333334	-0.15625	0.05208333333333334	-1.041666666666667	2609963.422619048	-0.08928571428571429	-0.2083333333333333	0.9970238095238095	70229120.31249999	0	0	0	0	0	28304.68749999999	0	0	0	0	0	70472062.49999999	-3.125	-198.4375	0	0	-3.125	70161071.87499999	-17.1875	0	0	-198.4375	-17.1875	45923684.37499999	200
0	305	0	0	0	189014199921249.1	0	3333776.744791666	-0.07812499999999999	-0.1041666666666667	-0.1041666666666667	-0.2083333333333333	3000396.979166667	0.3125	0.9895833333333334	1.041666666666667	-0.2380952380952381	2667018.556547619	0.2976190476190476	1.860119047619047	1.145833333333333	70236934.37499999	0	0	0	0	0	28743.74999999999	0	0	0	0	0	70483929.68749999	-9.374999999999998	-204.6875	0	0	-9.374999999999998	70167765.62499999	-32.81249999999999	0	0	-204.6875	-32.81249999999999	45919040.62499999	200
0	307.5	0	0	0	189014208345997.5	0.07812499999999999	3406207.578125	0.05208333333333333	0	0.05208333333333333	-0.1041666666666667	3065576.197916667	0.8333333333333334	2.135416666666667	-0.3645833333333334	1.011904761904762	2724955.595238095	0.3571428571428572	1.041666666666667	-0.04464285714285714	70244817.18749999	0	0	0	0	0	29204.68749999999	0	0	0	0	0	70495903.12499999	-9.374999999999998	-198.4375	0	0	-9.374999999999998	70174512.49999999	-28.12499999999999	0	0	-198.4375	-28.12499999999999	45914353.12499999	200
0	310	0	0	0	189014216953222.6	-0.07812499999999999	3479759.895833333	-0.07812499999999999	-0.07812499999999999	0.1041666666666667	0.5208333333333334	3131784.0625	0.5729166666666667	-0.8333333333333334	-0.625	0.2678571428571428	2783807.455357143	-1.220238095238095	0.8779761904761905	1.026785714285714	70252776.56249999	0	0	0	0	0	29647.65624999999	0	0	0	0	0	70507964.06249999	1.5625	-200	0	0	1.5625	70181314.06249999	-31.24999999999999	0	0	-200	-31.24999999999999	45909612.49999999	200
0	312.5	0	0	0	189014225745738.7	0.05208333333333333	3554441.666666666	0	0.07812499999999999	-0.02604166666666666	0.46875	3198999.635416667	-0.3645833333333334	-0.5208333333333334	-0.8854166666666667	0.2232142857142857	2843555.133928571	-0.7142857142857143	-1.145833333333333	-0.3571428571428572	70260793.74999999	0	0	0	0	0	30096.87499999999	0	0	0	0	0	70520128.12499999	-3.125	-204.6875	0	0	-3.125	70188170.31249999	-25	0	0	-204.6875	-25	45904839.06249999	200
0	315	0	0	0	189014234726383.2	0.07812499999999999	3630265.078125	-0.05208333333333333	0.05208333333333333	-0.02604166666666666	0.46875	3267240.9375	0.8333333333333334	0.46875	-0.8854166666666667	0.1934523809523809	2904213.333333333	1.071428571428571	-0.4464285714285714	0.5208333333333333	70268857.81249999	0	0	0	0	0	30560.15624999999	0	-0.7812499999999999	0	0	0	70532399.99999999	10.9375	-198.4375	0	-0.7812499999999999	10.9375	70195081.24999999	-18.75	0	0	-198.4375	-18.75	45900051.56249999	200
0	317.5	0	0	0	189014243898016.7	0	3707233.098958333	-0.02604166666666666	0.07812499999999999	0.1041666666666667	-0.9375	3336518.59375	-0.2083333333333333	3.4375	0.625	-0.4761904761904762	2965797.232142857	-0.01488095238095238	1.369047619047619	-0.5059523809523809	70277015.62499999	0	0	0	0	0	31014.06249999999	0	0	0	0	0	70544764.06249999	-3.125	-210.9375	0	0	-3.125	70202057.81249999	-14.0625	0	0	-210.9375	-14.0625	45895196.87499999	200
0	320	0	0	0	189014253263522.2	0.02604166666666666	3785363.385416666	-0.1041666666666667	-0.07812499999999999	-0.07812499999999999	-0.5729166666666667	3406826.510416667	-0.15625	-0.5208333333333334	-0.2604166666666667	-0.08928571428571429	3028289.910714285	0.119047619047619	0.1785714285714286	0.1041666666666667	70285242.18749999	0	0	0	0	0	31492.18749999999	0	0	0	0	0	70557234.37499999	1.5625	-214.0625	0	0	1.5625	70209085.93749999	-18.75	0	0	-214.0625	-18.75	45890323.43749999	200
0	322.5	0	0	0	189014262825806.3	0.02604166666666666	3864659.244791666	0.07812499999999999	0.02604166666666666	0.07812499999999999	0.2083333333333333	3478182.34375	-0.6770833333333334	0.6770833333333334	0.2083333333333333	0.3571428571428572	3091716.979166667	-0.6398809523809523	-0.6101190476190476	0.9672619047619048	70293499.99999999	0	0	0	0	0	31954.68749999999	0	-0.7812499999999999	0	0	0	70569790.62499999	-15.625	-203.125	0	-0.7812499999999999	-15.625	70216162.49999999	-17.1875	0	0	-203.125	-17.1875	45885403.12499999	200
0	325	0	0	0	189014272587797.5	-0.05208333333333333	3945131.328125	-0.02604166666666666	-0.2083333333333333	0	-0.625	3550618.59375	1.041666666666667	-0.46875	-0.625	-1.175595238095238	3156103.348214285	-0.7291666666666666	-1.25	-0.1636904761904762	70301834.37499999	0	0	0	0	0	32423.43749999999	0	-0.7812499999999999	0	0	0	70582448.43749999	-3.125	-214.0625	0	-0.7812499999999999	-3.125	70223299.99999999	-23.4375	0	0	-214.0625	-23.4375	45880437.49999999	200
0	327.5	0	0	0	189014282552447.8	-0.02604166666666666	4026788.697916666	0	-0.07812499999999999	-0.05208333333333333	0.8333333333333334	3624111.614583333	-0.2604166666666667	-0.1041666666666667	-0.2604166666666667	-0.1339285714285714	3221435.87797619	-0.3720238095238095	0.7440476190476191	0.2529761904761905	70310245.31249999	0	0	0	0	0	32893.74999999999	0	0	0	0	0	70595209.37499999	-1.5625	-217.1875	0	0	-1.5625	70230492.18749999	-28.12499999999999	0	0	-217.1875	-28.12499999999999	45875443.74999999	200
0	330	0	0	0	189014292722731.5	-0.05208333333333333	4109639.270833333	0.02604166666666666	-0.05208333333333333	0.07812499999999999	0.3125	3698668.333333333	0.1041666666666667	0.7291666666666667	0.5208333333333334	0.6696428571428571	3287703.06547619	0.5059523809523809	-0.863095238095238	-0.7886904761904762	70318723.43749999	0	0	0	0	0	33383.59374999999	0	0	0	0	0	70608078.12499999	1.5625	-220.3124999999999	0	0	1.5625	70237735.93749999	-25	0	0	-220.3124999999999	-25	45870406.24999999	200
0	332.5	0	0	0	189014303101645.9	-0.02604166666666666	4193694.244791666	0	-0.02604166666666666	0.02604166666666666	0.78125	3774332.552083333	0.46875	-1.041666666666667	0.7291666666666667	0.5654761904761905	3354963.735119048	-0.3273809523809524	-1.220238095238095	-0.3720238095238095	70327264.06249999	0	0	0	0	0	33874.21874999999	0	0	0	0	0	70621040.62499999	-12.5	-220.3124999999999	0	0	-12.5	70245039.84374999	-32.81249999999999	0	0	-220.3124999999999	-32.81249999999999	45865342.18749999	200
0	335	0	0	0	189014313692211.6	0.02604166666666666	4278961.354166666	-0.02604166666666666	0.02604166666666666	0.07812499999999999	0.1041666666666667	3851061.041666667	-0.4166666666666667	-1.71875	0.2604166666666667	1.235119047619048	3423166.81547619	0.3571428571428572	-3.720238095238095	0.5803571428571428	70335848.43749999	0	0	0	0	0	34342.96874999999	0	-0.7812499999999999	0	0	0	70634082.81249999	-6.249999999999999	-218.75	0	-0.7812499999999999	-6.249999999999999	70252410.93749999	-28.12499999999999	0	0	-218.75	-28.12499999999999	45860214.06249999	200
0	337.5	0	0	0	189014324497470.4	0.02604166666666666	4365450.624999999	-0.05208333333333333	0.1041666666666667	-0.07812499999999999	0.625	3928897.708333333	0.2604166666666667	-6.25	-0.9375	0.3720238095238095	3492351.964285714	-0.0744047619047619	-7.351190476190476	-0.1488095238095238	70344504.68749999	0	0	0	0	0	34842.96874999999	0	0	0	0	0	70647237.49999999	-12.5	-221.8749999999999	0	0	-12.5	70259821.87499999	-29.68749999999999	0	0	-221.8749999999999	-29.68749999999999	45855073.43749999	200
0	340	0	0	0	189014335520488.5	0.07812499999999999	4453169.192708333	-0.02604166666666666	-0.07812499999999999	-0.07812499999999999	0.15625	4007850.885416667	-0.1041666666666667	-0.1041666666666667	0	0.4464285714285714	3562531.369047619	-1.205357142857143	0.3125	-0.119047619047619	70353242.18749999	0	0	0	0	0	35325.78124999999	0	0	0	0	0	70660485.93749999	18.75	-229.6874999999999	0	0	18.75	70267282.81249999	-15.625	0	0	-229.6874999999999	-15.625	45849882.81249999	200
0	342.5	0	0	0	189014346764353.4	0.02604166666666666	4542130.364583333	0	-0.1041666666666667	0.02604166666666666	-0.4166666666666667	4087909.947916667	0.05208333333333334	-2.083333333333333	-0.625	-0.08928571428571429	3633694.747023809	-0.9821428571428571	-1.860119047619047	-0.3571428571428572	70362043.74999999	0	0	0	0	0	35831.24999999999	0	0	0	0	0	70673854.68749999	-6.249999999999999	-217.1875	0	0	-6.249999999999999	70274810.93749999	-34.37499999999999	0	0	-217.1875	-34.37499999999999	45844656.24999999	200
0	345	0	0	0	189014358232176.2	0.05208333333333333	4632337.760416666	-0.05208333333333333	0.2083333333333333	0.02604166666666666	-0.5208333333333334	4169109.21875	-0.1041666666666667	3.125	0.15625	0.625	3705876.056547619	0.6696428571428571	5.907738095238095	0.9375	70370895.31249999	0	0	0	0	0	36334.37499999999	0	0	0	0	0	70687301.56249999	-4.687499999999999	-223.4374999999999	0	0	-4.687499999999999	70282392.18749999	-31.24999999999999	0	0	-223.4374999999999	-31.24999999999999	45839393.74999999	200
0	347.5	0	0	0	189014369927089.9	-0.02604166666666666	4723803.515624999	0.07812499999999999	0.07812499999999999	0	0.5729166666666667	4251436.354166667	0.78125	3.697916666666667	0.46875	0.0744047619047619	3779056.666666667	1.160714285714286	2.767857142857143	-0.5357142857142857	70379826.56249999	0	0	0	0	0	36850.78124999999	0	0	0	0	0	70700845.31249999	-3.125	-231.2499999999999	0	0	-3.125	70290032.81249999	-34.37499999999999	0	0	-231.2499999999999	-34.37499999999999	45834090.62499999	200
